Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
G05,Absolute Quantification,ABS,22.3,Unknown,,OK,1328,ddPCR Supermix for Probes (no dUTP),,,,,,14799,7077,,,,,,21876,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
G06,Absolute Quantification,ABS,22.4,Unknown,,OK,283,ddPCR Supermix for Probes (no dUTP),,,,,,4655,17122,,,,,,21777,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H05,Absolute Quantification,ABS,23.3,Unknown,,OK,402,ddPCR Supermix for Probes (no dUTP),,,,,,5853,14382,,,,,,20235,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H06,Absolute Quantification,ABS,23.4,Unknown,,OK,85.6,ddPCR Supermix for Probes (no dUTP),,,,,,1393,18458,,,,,,19851,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
A07,Absolute Quantification,ABS,24.3,Unknown,,OK,223,ddPCR Supermix for Probes (no dUTP),,,,,,3994,19163,,,,,,23157,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
A08,Absolute Quantification,ABS,24.4,Unknown,,OK,51.1,ddPCR Supermix for Probes (no dUTP),,,,,,988,22270,,,,,,23258,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B07,Absolute Quantification,ABS,25.3,Unknown,,OK,91.4,ddPCR Supermix for Probes (no dUTP),,,,,,1678,20760,,,,,,22438,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
B08,Absolute Quantification,ABS,25.4,Unknown,,OK,22,ddPCR Supermix for Probes (no dUTP),,,,,,411,21759,,,,,,22170,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C07,Absolute Quantification,ABS,26.3,Unknown,,OK,2149,ddPCR Supermix for Probes (no dUTP),,,,,,17588,3373,,,,,,20961,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
C08,Absolute Quantification,ABS,26.4,Unknown,,OK,512,ddPCR Supermix for Probes (no dUTP),,,,,,7998,14657,,,,,,22655,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
D07,Absolute Quantification,ABS,27.3,Unknown,,OK,1320,ddPCR Supermix for Probes (no dUTP),,,,,,15506,7485,,,,,,22991,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
D08,Absolute Quantification,ABS,27.4,Unknown,,OK,311,ddPCR Supermix for Probes (no dUTP),,,,,,5328,17604,,,,,,22932,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
E07,Absolute Quantification,ABS,28.3,Unknown,,OK,410,ddPCR Supermix for Probes (no dUTP),,,,,,6579,15778,,,,,,22357,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
E08,Absolute Quantification,ABS,28.4,Unknown,,OK,99.7,ddPCR Supermix for Probes (no dUTP),,,,,,1711,19352,,,,,,21063,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
F07,Absolute Quantification,ABS,29.3,Unknown,,OK,246,ddPCR Supermix for Probes (no dUTP),,,,,,4055,17417,,,,,,21472,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
F08,Absolute Quantification,ABS,29.4,Unknown,,OK,61.9,ddPCR Supermix for Probes (no dUTP),,,,,,1134,20988,,,,,,22122,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
G07,Absolute Quantification,ABS,30.3,Unknown,,OK,105,ddPCR Supermix for Probes (no dUTP),,,,,,1920,20494,,,,,,22414,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
G08,Absolute Quantification,ABS,30.4,Unknown,,OK,25.1,ddPCR Supermix for Probes (no dUTP),,,,,,437,20301,,,,,,20738,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H03,Absolute Quantification,ABS,NTC,Unknown,,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,20639,,,,,,20639,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H07,Absolute Quantification,ABS,NTC,Unknown,,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,21844,,,,,,21844,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H11,Absolute Quantification,ABS,NTC,Unknown,,CHECK,No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,21503,,,,,,21503,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H04,Absolute Quantification,ABS,P,Unknown,,OK,1869,ddPCR Supermix for Probes (no dUTP),,,,,,18188,4665,,,,,,22853,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H08,Absolute Quantification,ABS,P,Unknown,,OK,2011,ddPCR Supermix for Probes (no dUTP),,,,,,17406,3847,,,,,,21253,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
H12,Absolute Quantification,ABS,P,Unknown,,OK,1948,ddPCR Supermix for Probes (no dUTP),,,,,,16521,3897,,,,,,20418,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
